objects	objecten
bathroom	badkamer
bed	bed
bedroom	slaapkamer
ceiling	plafond
chair	stoel
clothes	kleren
coat	jas
cup	beker/kop
desk	bureau
dress	kleding/jurk
floor	verdieping/vloer
fork	vork
furniture	meubilair
glass	glas
hat	hoed
house	huis
ink	inkt
jacket	jas
kitchen	keuken
knife	mes
lamp	lamp
letter	brief
map	kaart
newspaper	krant
notebook	notitieboek
pants	broek
paper	papier
pen	pen
pencil	potlood
pharmacy	apotheek
picture	foto
plate	bord
refrigerator	koelkast
restaurant	restaurant
roof	dak
room	kamer
rug	vloerkleed
scissors	schaar
shampoo	shampoo
shirt	hemd/shirt
shoes	schoenen
soap	zeep
socks	sokken
spoon	lepel
table	tafel
toilet	toilet
toothbrush	tandenborstel
toothpaste	tandpasta
towel	handdoek
umbrella	paraplu
underwear	ondergoed
wall	muur
wallet	portemonnee
window	venster/raam
telephone	telefoon
