address (in email or of website) => la dirección
"at" symbol  => la arroba
backslash  => la barra invertida
backslash  => la contrabarra
to backup  => hacer un archivo de seguridad
battery  => la pila
bandwidth  => la amplitud de banda
bookmark  => el marcapáginas
browser  => el navegador 
bug  => el fallo
button (as on a mouse)  => el botón
cable  => el cable
card  => la tarjeta
CD-ROM  => CD-ROM
click (noun)  => el clic
computer  => la computadora 
cursor  => el cursor
cut and paste  => cortar y pegar
data  => los datos
desktop (of a computer screen)  => la pantalla
digital  => digital
domain  => el dominio
dot (in Internet addresses)  => el punto
download  => descargar
driver  => el controlador de dispositivo
email  => el correo electrónico
delete  => borrar
file  => el archivo
flash memory  => la memoria flash
folder  => la carpeta
hard drive  => el disco duro
high resolution  => resolución alta
home page  => la página inicial
icon  => el icono
install  => instalar
Internet  => la internet
key (of a keyboard)  => la tecla
keyboard  => el teclado
keyword  => la palabra clave
laptop (computer)  => el plegable
LCD  => LCD
link  => el enlace
memory  => la memoria
menu  => el menú
message  => el mensaje
modem  => el módem
mouse  => el ratón
multitasking  => la multitarea
network  => la red
operating system  => el sistema operativo
password  => la contraseña
print (verb)  => imprimir
printer  => la impresora
processor  => el procesador
program  => el programa 
RAM  => la RAM
save (a file or document)  => guardar
screen  => la pantalla
screensaver  => el salvapantallas
search engine  => el buscador
slash (/)  => la barra
server  => el servidor
software  => el software
spam  => el correo basura
streaming  => streaming
toolbar  => la barra de herramientas
video  => el video
virus  => el virus
web page  => la página web 
window  => la ventana
wireless  => inalámbrico
